Name,Team,Nac.,Age,Height,Preffoot,Position,Number,ValuePlayer,matchesTotal,matchesStarting,minutesPerGame,goals,goalsFrequency,goalsAverage,totalShotsPerGame,bigChanceMissed,assists,touches,bigChanceCreated,keyPasses,accuratePassesPerGame,successfulPassesOwnHalf,successfulPassesOppositionHalf,successfulLongPasses,accurateChippedPasses,successfulCrossesAndCorners,interceptionsPerGame,tacklesPerGame,possessionWonFinalThird,challengesLostPerGame,totalClearancesPerGame,errorLeadToAShot,errorLeadToaGoal,penaltiesConceded,successfulDribblesPerGame,duelsWonPerGame,groundDuelsWonPerGame,aerialDuelsWonPerGame,possessionLost,fouls,wasFouled,offsides,yellowCards,yellowRedCards,redCards
waldo-rubio-marin,Real Valladolid,ESP,24,181 cm,Right,F,23,1M €,12,4,37,0,0.0,0.5,0,1,19.8,0,0.6,7.3 (62%),3.3 (78%),4.1 (49%),0.5 (32%),0.3 (44%),0.2 (20%),0.3,0.3,0.6,1.2,0.3,0,0,0,0.8 (48%),1.8 (32%),1.4 (30%),0.3 (44%),7.8,0.7,0.3,0.2,3,0,0,
stiven-plaza,Real Valladolid,ECU,21,188 cm,Right,F,31,915K €,2,0,18,0,0.0,0.0,0,0,6.0,0,0.0,2.0 (67%),0.0 (0%),2.0 (80%),0.0 (0%),0.0 (0%),0.0 (0%),0.0,0.0,0.0,0.0,0.0,0,0,0,0.0 (0%),1.5 (38%),1.5 (60%),0.0 (0%),1.5,0.5,1.5,0.0,0,0,0,
miguel-de-la-fuente,Real Valladolid B,ESP,20,182 cm,Right,F,29,410K €,3,0,10,0,0.0,0.0,0,0,3.7,0,0.0,1.3 (67%),0.7 (100%),0.7 (33%),0.0 (0%),0.0 (0%),0.0 (0%),0.0,0.3,0.0,0.0,0.3,0,0,0,0.0 (0%),0.3 (25%),0.3 (50%),0.0 (0%),1.7,0.3,0.0,0.0,0,0,0,
victor-garcia,Real Valladolid B,ESP,23,F,35,240K €,None,None,1,1,63,0,0.0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ruben-alcaraz,Real Valladolid,ESP,28,180 cm,Right,M,14,9.3M €,17,13,72,1,1231 min,0.06,0.8,0,1,60.1,1,0.6,35.2 (81%),16.9 (88%),18.5 (72%),4.6 (55%),3.2 (52%),0.2 (19%),0.6,2.6,0.2,1.5,1.2,0,0,1,1.2 (88%),7.9 (58%),6.1 (64%),1.8 (44%),11.2,1.5,2.2,0.0,7,0,0
oscar-plano,Real Valladolid,ESP,29,180 cm,Both,M,10,4.1M €,27,22,73,3,656 min,0.1,0.9,4,2,34.3,4,0.7,15.4 (74%),5.6 (76%),10.2 (69%),1.0 (51%),0.5 (52%),0.3 (26%),1.0,1.1,0.2,0.9,0.6,0,0,0,0.5 (64%),4.3 (45%),3.3 (49%),1.0 (35%),9.4,1.4,1.7,0.1,3,0,0
fede-san-emeterio,Real Valladolid,ESP,23,174 cm,Right,M,16,4.1M €,14,12,76,0,0.0,0.0,0,0,38.8,0,0.4,25.0 (83%),14.6 (86%),10.4 (78%),2.4 (60%),1.6 (61%),0.0 (0%),1.4,1.1,0.2,0.9,0.8,0,0,0,0.1 (100%),3.4 (49%),2.4 (50%),1.1 (48%),6.2,1.2,1.1,0.0,3,0,0,
toni-villa,Real Valladolid,ESP,25,171 cm,Right,M,19,3.8M €,18,14,62,0,0.0,0.6,1,1,37.3,2,0.6,14.6 (76%),5.4 (84%),9.4 (68%),0.8 (52%),0.6 (65%),0.3 (25%),0.4,1.4,0.3,1.5,0.1,0,0,0,1.9 (43%),5.2 (43%),5.0 (44%),0.2 (31%),12.2,0.8,1.7,0.1,4,0,0,
matheus-fernandes,Real Valladolid,BRA,21,183 cm,Right,M,35,3.3M €,11,6,49,1,537 min,0.09,0.3,0,0,32.2,1,0.6,19.7 (84%),8.9 (84%),10.8 (83%),0.8 (43%),0.6 (58%),0.0 (0%),0.9,1.5,0.3,1.1,0.5,0,0,0,0.8 (75%),3.4 (47%),2.7 (45%),0.6 (58%),5.8,1.4,0.5,0.0,2,0,0
joaquin-fernandez,Real Valladolid,ESP,23,190 cm,Right,M,24,3.2M €,14,13,83,1,1165 min,0.07,0.5,0,0,52.7,0,0.2,32.6 (79%),18.8 (86%),13.9 (71%),3.0 (50%),1.6 (41%),0.0 (0%),1.6,1.9,0.5,1.4,2.4,0,0,0,0.4 (86%),5.9 (53%),2.6 (46%),3.3 (61%),9.5,1.7,0.4,0.3,7,0,0
